Name,Year,Rate,Genre,Country
The Wolfman,2010,5.8,"Drama,Fantasy,Horror,Thriller",United States
Old,2021,5.8,"Drama,Horror,Mystery,Thriller",United States
The Babysitter: Killer Queen,2020,5.8,"Comedy,Horror",United States
Child's Play 2,1990,5.9,"Horror,Thriller",United States
King Kong,1976,5.9,"Adventure,Horror",United States
Black Sheep,2006,5.8,"Comedy,Horror,Sci-Fi",New Zealand
"Salò, or the 120 Days of Sodom",1975,5.9,"Drama,Horror",Italy
Thinner,1996,5.8,"Fantasy,Horror",United States
Dracula: Dead and Loving It,1995,5.9,"Comedy,Fantasy,Horror",France
The Possession,2012,5.9,"Horror,Mystery,Thriller",United States
The Descent: Part 2,2009,5.8,"Adventure,Horror,Thriller",United Kingdom
The X Files: I Want to Believe,2008,5.9,"Crime,Drama,Horror,Mystery,Sci-Fi,Thriller",United States
Hostel,2005,5.9,Horror,United States
The Grudge,2004,5.9,"Horror,Mystery,Thriller",United States
The Haunting in Connecticut,2009,5.9,"Drama,Horror,Mystery,Thriller",United States
The Brothers Grimm,2005,5.9,"Action,Adventure,Comedy,Fantasy,Horror,Mystery,Thriller",United States
Saw IV,2007,5.9,"Crime,Horror,Mystery,Thriller",Canada
Quarantine,2008,5.9,"Horror,Thriller",United States
P2,2007,5.9,"Crime,Horror,Thriller",United States
Carrie,2013,5.9,"Drama,Horror",United States
The Tall Man,2012,5.9,"Crime,Drama,Horror,Mystery,Thriller",Canada
